Player,Yrs,G,Date,City,State
Michael Ansley\anslemi01,3,149,Feb 8 1967,Birmingham,Alabama
Keith Askins\askinke01,9,486,Dec 15 1967,Athens,Alabama
Carl Bailey\baileca01,1,1,Apr 23 1958,Birmingham,Alabama
Charles Barkley*\barklch01,16,1073,Feb 20 1963,Leeds,Alabama
Eric Bledsoe\bledser01,7,374,Dec 9 1989,Birmingham,Alabama
Tom Boswell\bosweto01,6,366,Oct 2 1953,Montgomery,Alabama
David Bustion\bustida01,1,47,Aug 30 1949,Gadsden,Alabama
Jason Caffey\caffeja01,8,462,Jun 12 1973,Mobile,Alabama
DeMarre Carroll\carrode01,8,360,Jul 27 1986,Birmingham,Alabama
Bobby Cattage\cattabo01,2,78,Aug 17 1958,Huntsville,Alabama
Derrick Coleman\colemde01,15,781,Jun 21 1967,Mobile,Alabama
DeMarcus Cousins\couside01,7,436,Aug 13 1990,Mobile,Alabama
Michael Curry\currymi01,11,667,Aug 22 1968,Anniston,Alabama
Fennis Dembo\dembofe01,1,31,Jan 24 1966,Mobile,Alabama
John Douglas\dougljo01,2,67,Jun 12 1956,Town Creek,Alabama
Leon Douglas\douglle01,7,456,Aug 26 1954,Leighton,Alabama
John Drew\drewjo01,11,739,Sep 30 1954,Vredenburgh,Alabama
T.R. Dunn\dunntr01,14,993,Feb 1 1955,Birmingham,Alabama
Jim Farmer\farmeji01,5,136,Sep 23 1964,Dothan,Alabama
Rod Foster\fostero01,3,207,Oct 10 1960,Birmingham,Alabama
Mickell Gladness\gladnmi01,1,26,Jul 26 1986,Birmingham,Alabama
Orlando Graham\grahaor01,1,7,May 5 1965,Montgomery,Alabama
Travis Grant\granttr01,4,201,Jan 1 1950,Clayton,Alabama
JaMychal Green\greenja01,3,126,Jun 21 1990,Montgomery,Alabama
Lamar Green\greenla01,6,411,Mar 22 1947,Birmingham,Alabama
Darrin Hancock\hancoda01,3,133,Nov 3 1971,Birmingham,Alabama
James Hardy\hardyja01,4,249,Dec 1 1956,Knoxville,Alabama
Johnny High\highjo01,4,274,Apr 25 1957,Birmingham,Alabama
Cedrick Hordges\hordgce01,2,145,Jan 8 1957,Montgomery,Alabama
Robert Horry\horryro01,16,1107,Aug 25 1970,Andalusia,Alabama
Elvin Ivory\ivoryel01,1,20,Jul 2 1948,Birmingham,Alabama
Stanley Jackson\jacksst01,1,17,Oct 10 1970,Tuskegee,Alabama
Henry James\jameshe01,7,212,Jul 29 1965,Centreville,Alabama
Buck Johnson\johnsbu01,7,505,Jan 3 1964,Birmingham,Alabama
Ken Johnson\johnske01,1,64,Nov 7 1962,Tuskegee,Alabama
Nate Johnston\johnsna01,1,21,Dec 18 1966,Birmingham,Alabama
Edgar Jones\jonesed01,6,363,Jun 17 1956,Fort Rucker,Alabama
Walter Jordan\jordawa01,1,30,Feb 19 1956,Perry,Alabama
Larry Kenon\kenonla01,10,752,Dec 13 1952,Birmingham,Alabama
Warren Kidd\kiddwa01,1,68,Sep 9 1970,Harpersville,Alabama
Stan Kimbrough\kimbrst01,2,13,Apr 24 1966,Tuscaloosa,Alabama
